blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Sion,Varus,Renata Glasc,Viktor,Wukong,Kalista,Xin Zhao,Soraka,Vladimir,Galio,0,LCK,1.0,0.0,-2902.0,-1313.0,-797.0,363.0,1.0,1.0,0.0,5.0,1.0,2.0
Azir,Skarner,Jayce,Xayah,Rakan,Xin Zhao,Ahri,Sion,Varus,Renata Glasc,1,LCK,1.0,0.0,1947.0,2014.0,2086.0,153.0,0.0,0.0,2.0,4.0,1.0,2.0
Rumble,Orianna,Wukong,Ashe,Braum,Pantheon,Ornn,Galio,Jhin,Alistar,0,LCK,1.0,0.0,-3714.0,-884.0,77.0,477.0,0.0,0.0,2.0,3.0,3.0,0.0
Vi,Ezreal,Leona,Ahri,Aatrox,Varus,Xin Zhao,Ambessa,Azir,Maokai,1,LCP,1.0,0.0,767.0,717.0,122.0,-74.0,0.0,0.0,1.0,4.0,1.0,2.0
Rumble,Miss Fortune,Rell,Skarner,Viktor,Ryze,Viego,Alistar,Senna,Galio,0,LCP,0.0,1.0,-13651.0,-5577.0,-1238.0,-197.0,0.0,0.0,0.0,4.0,3.0,0.0
Gwen,Kalista,Renata Glasc,Maokai,Corki,Varus,Pantheon,Karma,Gnar,Ahri,1,LCP,1.0,0.0,-371.0,-516.0,339.0,258.0,1.0,1.0,2.0,3.0,3.0,0.0
Wukong,Yorick,Sylas,Zeri,Lulu,Sejuani,Rakan,Xayah,Smolder,Sion,1,LCP,1.0,0.0,4249.0,669.0,52.0,-299.0,1.0,1.0,3.0,2.0,3.0,0.0
Vi,Jhin,Jayce,Syndra,Alistar,Skarner,Miss Fortune,Ambessa,Hwei,Rell,0,LCP,1.0,0.0,-3428.0,-3010.0,-187.0,67.0,0.0,0.0,0.0,4.0,3.0,0.0
Vi,Ahri,Jax,Lucian,Nami,Xin Zhao,Miss Fortune,K'Sante,Veigar,Rell,1,LTA S,0.0,1.0,4230.0,785.0,991.0,-88.0,1.0,0.0,3.0,1.0,0.0,3.0
Gwen,Naafiri,Annie,Ezreal,Poppy,Pantheon,Taliyah,Gnar,Alistar,Xayah,1,LTA S,1.0,0.0,3098.0,1550.0,729.0,752.0,0.0,1.0,3.0,1.0,1.0,2.0
Sejuani,Corki,Nautilus,Cassiopeia,Camille,Ashe,Nidalee,Braum,Ryze,Fiora,0,LTA S,0.0,1.0,-5026.0,-4978.0,-2147.0,-635.0,1.0,1.0,1.0,3.0,0.0,3.0
Gwen,Naafiri,Ahri,Kai'Sa,Rakan,Rumble,Xin Zhao,Annie,Ezreal,Poppy,0,LTA S,0.0,1.0,-1022.0,-660.0,-2444.0,-1806.0,1.0,0.0,0.0,4.0,1.0,2.0
Jayce,Ashe,Rell,Viktor,Maokai,Pantheon,Kalista,Sion,Renata Glasc,Akali,1,LTA S,1.0,0.0,6410.0,3532.0,-915.0,-241.0,1.0,1.0,2.0,2.0,1.0,2.0
Taliyah,Pantheon,Rumble,Jhin,Poppy,Xin Zhao,Ahri,Ryze,Alistar,Kai'Sa,1,LTA N,1.0,0.0,11097.0,7793.0,3468.0,1295.0,1.0,1.0,4.0,0.0,3.0,0.0
Varus,Jayce,Nautilus,Galio,Kha'Zix,Ezreal,Neeko,Sion,Viego,Rell,0,LTA N,0.0,1.0,-2654.0,-1911.0,-2233.0,-1107.0,0.0,1.0,2.0,3.0,3.0,0.0
Naafiri,Varus,Ahri,Nautilus,Riven,Taliyah,Pantheon,Ambessa,Ziggs,Leona,1,LTA N,1.0,0.0,11316.0,8033.0,2920.0,2207.0,1.0,1.0,4.0,0.0,3.0,0.0
Xin Zhao,Annie,Sion,Caitlyn,Ashe,Kalista,Renata Glasc,Aatrox,Viktor,Trundle,0,LTA N,0.0,1.0,-7228.0,-5169.0,-1362.0,-1002.0,0.0,1.0,1.0,2.0,3.0,0.0
Varus,Viego,Nautilus,Sion,Viktor,Xin Zhao,Miss Fortune,Rell,Ahri,Aatrox,1,LCKC,1.0,0.0,-14.0,-722.0,-459.0,-39.0,1.0,1.0,3.0,2.0,3.0,0.0
Gwen,Sejuani,Yone,Xayah,Rakan,Ezreal,Orianna,Jax,Wukong,Alistar,1,LCKC,1.0,0.0,6137.0,3450.0,2749.0,1291.0,1.0,0.0,5.0,0.0,3.0,0.0
Jayce,Nocturne,Galio,Kai'Sa,Shen,Yorick,Aurora,Leona,Naafiri,Zeri,0,LCKC,1.0,0.0,-2220.0,-1745.0,-1995.0,-531.0,0.0,0.0,0.0,4.0,2.0,1.0
Gwen,Ezreal,Jayce,Skarner,Karma,Sejuani,Azir,Gnar,Kalista,Nautilus,1,LCKC,0.0,1.0,6105.0,2009.0,3256.0,1072.0,1.0,1.0,2.0,3.0,3.0,0.0
Xin Zhao,Ryze,Sion,Miss Fortune,Rell,Renekton,Ahri,Nidalee,Lucian,Braum,0,LCKC,0.0,1.0,-5374.0,-4570.0,-1856.0,-828.0,0.0,0.0,1.0,4.0,1.0,2.0
Azir,Gnar,Skarner,Jhin,Poppy,Gwen,Taliyah,Naafiri,Ezreal,Leona,0,LCKC,0.0,1.0,-2376.0,-774.0,139.0,312.0,1.0,0.0,1.0,5.0,3.0,0.0
Rumble,Xin Zhao,Viktor,Zeri,Alistar,Pantheon,Ryze,Miss Fortune,Ornn,Rell,1,LCKC,1.0,0.0,3845.0,-261.0,1624.0,326.0,1.0,1.0,2.0,3.0,3.0,0.0
Yone,Sejuani,Renekton,Lucian,Braum,Xayah,Rakan,Akali,K'Sante,Viego,0,LCKC,1.0,0.0,355.0,-1598.0,457.0,433.0,0.0,0.0,1.0,4.0,0.0,3.0
Taliyah,Sejuani,Ambessa,Xayah,Nautilus,Rumble,LeBlanc,Wukong,Rakan,Jinx,1,LCKC,0.0,1.0,-3235.0,-3324.0,1621.0,1313.0,0.0,0.0,3.0,4.0,0.0,3.0
Naafiri,Ahri,Sion,Miss Fortune,Rell,Azir,Pantheon,Yorick,Ezreal,Braum,1,LCKC,1.0,0.0,800.0,-797.0,835.0,-152.0,1.0,1.0,3.0,2.0,1.0,2.0
Gwen,Skarner,Ryze,Jhin,Pyke,Gnar,Lee Sin,Orianna,Kalista,Renata Glasc,0,LCKC,0.0,1.0,-613.0,2237.0,1029.0,1218.0,0.0,0.0,0.0,5.0,2.0,1.0
