pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Lucian,Ambessa,Ahri,Milio,Sejuani,1,0.574,0.8,0.8320000000000001, PEEL
Neeko,Ezreal,Shen,Trundle,Hwei,0,0.508,0.8,0.7899999999999998, POKE
K'Sante,Varus,Alistar,Wukong,Orianna,1,0.45600000000000007,0.8,0.7939999999999999, PEEL
Viktor,Trundle,Sion,Zeri,Lulu,0,0.4959999999999999,0.8,0.792, POKE
Yorick,Sylas,Kindred,Rakan,Jinx,1,0.524,0.6,0.852,FLEX
Xin Zhao,Ornn,Rell,Miss Fortune,Ryze,0,0.466,0.8,0.78, PEEL
Rumble,Sejuani,Leona,Corki,Zeri,1,0.556,0.6,0.7900000000000001, POKE
Wukong,Rell,Kai'Sa,Akali,Ornn,1,0.398,0.6,0.82,ENGAGE
Nidalee,Jhin,Alistar,Lillia,Yone,0,0.502,0.4,0.8320000000000001, SPLIT
Nautilus,Aphelios,Maokai,Gnar,Viktor,0,0.438,0.8,0.7479999999999999, SIEGE
Kalista,Renata Glasc,Viego,Sion,Sylas,1,0.4659999999999999,0.6,0.82,PEEL
Jayce,Maokai,Azir,Corki,Tahm Kench,1,0.6140000000000001,0.6,0.766, BURST
Ashe,Nocturne,Orianna,Renekton,Seraphine,0,0.5700000000000001,0.8,0.7979999999999998, POKE
Vi,Lucian,Nami,Smolder,Yorick,1,0.45,0.8,0.8240000000000001,PEEL
Xayah,Rakan,Galio,Jarvan IV,Renekton,0,0.454,0.8,0.836, SIEGE
Jhin,Blitzcrank,Jayce,Mel,Poppy,1,0.588,0.6,0.7639999999999999, BURST
Seraphine,Karma,Ambessa,Yone,Malphite,0,0.484,0.8,0.8099999999999999,PEEL
Pantheon,Gwen,Azir,Ezreal,Alistar,1,0.598,0.6,0.8100000000000002, POKE
Xin Zhao,Viktor,Yorick,Ashe,Neeko,0,0.55,1.0,0.7819999999999998, POKE
Neeko,Kayn,Taliyah,Jhin,Ambessa,1,0.5980000000000001,0.4,0.7939999999999998,MAPA
Lillia,Braum,Ekko,Ashe,Renekton,0,0.442,0.8,0.8140000000000001,PEEL
Pantheon,Azir,Sion,Kai'Sa,Elise,1,0.5319999999999999,0.6,0.808, POKE
